Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
,2.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,118.27340531349182,118.27340531349182,,,,,
,3.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,341.49060916900635,341.49060916900635,,,,,
,4.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,366.22459292411804,366.22459292411804,,,,,
,5.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,551.8834450244904,551.8834450244904,,,,,
,6.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,798.4758973121643,798.4758973121643,,,,,
,7.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,1065.1172091960907,1065.1172091960907,,,,,
,8.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,37744.098096847534,37744.098096847534,,,,,
,9.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,2046.820443868637,2046.820443868637,,,,,
,10.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,2527.650058031082,2527.650058031082,,,,,
,11.0,23.0,40.0,6.0,31.0,0.63,0.7931034482758621,0.42592592592592593,0.8695652173913043,0.5542168674698795,5796.841639995575,5796.841639995575,,,,,
